stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0.32,0.32,1.92,1.28,0.32,0.32,0,0,0.32,0.32,0.32,0.64
22Month,1.09,0,0.55,1.09,0.55,1.09,0,0.55,0.55,0,0.55,0,0
