stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,4.09,0,1332.17,12.26,0,0,0,0,8.17,57.21,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,1.07,0,0,0,0,0,0,0,1.07,0,0,2.14,234.28,2.14,0,1.07,0,0,147.63,10.7,0,0,1.07,0,0,3.21,0,1.07,0,0,0
21Day,0,0,0,4.02,9.37,0,0,0,0,0,1.34,0,32.12,1.34,0,0,396.21,9.37,0,0,1.34,0,88.34,10.71,0,0,2.68,10.71,2.68,0,0,0,0,0,22.76
3Month,0.96,0.32,0.64,15.36,0,1.6,0.32,3.2,4.48,0,24.96,8.64,2.88,11.2,1.6,3.84,887.86,11.52,1.28,0.32,2.24,1.6,24.32,0,0.32,0.64,0.64,4.48,12.8,0,0,0,2.88,4.8,181.09
22Month,0.55,5.47,2.19,21.87,0,2.19,0.55,3.28,28.43,7.11,140.49,2.73,9.84,12.57,1.09,4.37,1686.98,18.59,0,16.95,0.55,0,16.95,0,4.37,4.37,0,1.09,6.56,1.64,1.64,0,1.09,0,135.02
