stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,1.07,0,1.07,0,0,0,0,0,0,0,2.14,0,0,0
21Day,0,4.02,1.34,0,2.68,1.34,1.34,0,2.68,1.34,1.34,52.2,1.34,2.68,0
3Month,0,0.64,0.64,0,0,0,0,0,0,0,0,2.24,0,0,0
22Month,0.55,0.55,2.73,3.83,0.55,0.55,2.73,0.55,0,0,0,0.55,0,0,0.55
