stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,24.52,0,0,4.09,0,0,4.09,0,0,0,0,0,28.6,0,28.6,0,0,0,32.69,3837.13,0,0,12.26,0,0,0,0,0,0,0
72hpf,5.35,3.21,0,4.28,1.07,11.77,0,0,0,0,0,0,0,0,4.28,21.4,3.21,13.91,0,0,0,89.86,759.55,2.14,0,12.84,0,0,237.49,1.07,0,0,0
21Day,4.02,0,2.68,4.02,0,6.69,1.34,0,0,0,0,0,1.34,2.68,1.34,2.68,4.02,9.37,0,0,0,20.08,424.31,0,0,1.34,12.05,2.68,80.31,0,1.34,1.34,1.34
3Month,0,0,0,2.24,0,0,0,0.32,0.32,0,2.88,0.96,0,0.64,0.32,0.32,0,0,0.64,0.32,0,0,3.52,0,0,0,0,12.8,0.96,0,0,5.12,0.32
22Month,0,0,0,0,0,0,0,0.55,0.55,0,6.56,0,0.55,0.55,0,0,0,0,0,0.55,0.55,1.09,2.19,0,1.09,0,0,37.72,0.55,0,0,0,0
