stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,1.34,0,0,0,0,0
3Month,0,0.32,19.2,0,0,0.64,0,0.32,0.64,1.28,0.96,0.32,0.64,0.32,0.32,0.32,0.32,0,0.32,0,0.32,0.64,0.96
22Month,0,0.55,1.64,0.55,82,8.75,0.55,0,1.09,0,0,0,0,0,0,0,0,0,0.55,1.09,0,0,0
