stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,5.35,0,0,0,0,0,0,0,0,1.34,0,1.34,4.02,1.34,1.34,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,2.68
3Month,0,0.64,0.64,31.67,0,0.64,0,15.68,5.44,0,5.12,4.16,1.92,33.91,1.92,2.56,12.48,1.6,0.96,0,0.96,4.48,0.32,1.28,0,0,0,3.2,0,0,0.32,0.96,61.75
22Month,0.55,20.77,4.37,59.04,0,1.09,0.55,24.6,14.21,5.47,41,1.64,13.12,75.98,4.37,5.47,24.05,11.48,0,2.19,2.19,1.09,0,1.64,0.55,0.55,2.19,22.96,0,0.55,1.09,0,82.54
