stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,49.04,4.09,0,20.43,0,0,0,8.17,0,0,0,0,0,4.09,106.25,0,20.43,3028.03,44.95,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,1.07,1.07,0,35.3,0,1.07,5.35,44.93,0,0,1.07,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,2.68,0,0,0,0,0
3Month,0,0,0,17.28,0.32,1.28,0,0,2.88,0.96,1.6,0.32,0.32,1.28,0.64,0.32,0,0,0,1.28,0.32,0,1.6,0.64
22Month,0,0.55,0,0.55,0,0.55,1.09,0,2.19,0,8.2,0,0,0,0,0,0,0,0,0,1.64,0,0,0
