stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,2.14,3.21,4.28,0,0,0,0,0,6.42,2.14,8.56,0,0,0,1056.95,40.65,1.07,5.35,13.91,0,0,9.63,1.07,0,1.07,0,0
21Day,0,0,0,4.02,0,1.34,0,2.68,1.34,4.02,1.34,4.02,0,1.34,0,257,1.34,0,6.69,2.68,9.37,0,1.34,1.34,6.69,0,0,0
3Month,0,0.32,1.92,0,0,2.56,0.32,0,1.6,0.64,0.64,0,0.32,0,0.32,0,0,0,0,0,0,0.96,0,0,0,0,0.32,0.96
22Month,0,0.55,0.55,0,0.55,14.21,0,0.55,0,0.55,1.09,1.09,0,0.55,0,0.55,0,0.55,0,0.55,0,0,0,0,0,0,0,0
