stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,61.3,0,0,4.09,0,0,0,0,4.09,49.04,0,12.26,0,24.52,363.69,0,0,0,8.17,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,31.02,11.77,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,41.49,1.34,1.34,0,2.68,0,0,0,2.68
3Month,0,0.96,0.64,0.32,0,0,1.6,1.28,0,0.64,0,0.64,0.32,0.64,0.32,1.6,0,0.32,0.96,0,0,0.32,0.32,0.32
22Month,0,0,0.55,2.19,0.55,0,8.2,0.55,0.55,1.09,0,0.55,1.09,0.55,0,0.55,0,0,1.09,0,0,0,0,0.55
