stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,4.09,0,4.09,0,0,0
72hpf,0,0,1.07,0,0,3.21,0,2.14,13.91,8.56,2.14
21Day,1.34,6.69,0,0,0,2.68,1.34,0,0,1.34,1.34
3Month,0,0.32,0,0.64,0,0,0,0,0,0,0
22Month,0,1.64,0,1.09,0.55,0,0,0,0,0,0
