stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia
24hpf,4.09,0,0,0,0,0,4.09,4.09,0,12.26,0,0
72hpf,0,0,0,0,0,0,0,2.14,5.35,6.42,0,0
21Day,1.34,2.68,0,1.34,1.34,0,0,0,2.68,2.68,0,0
3Month,0.32,0,0.64,0,0,0.32,0.64,0.32,0,0,0.32,0.32
22Month,0,0,0.55,0,0,0.55,0,0.55,0,0,0,0
