stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,19.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,14.98,0,0,0,2.14,0,0,4.28,0,0,0
21Day,2.68,0,0,2.68,1.34,9.37,0,6.69,0,0,0,0,0,0,0,2.68,0,2.68,0,0,0,121.81,14.72,2.68,0,0,1.34,2.68,0,2.68,0,0,1.34
3Month,0,1.6,1.28,19.52,0.32,0,1.6,0.96,3.52,6.4,0,11.2,9.28,5.76,3.2,6.4,5.44,4.16,1.92,0,1.6,1404.9,0.32,0.32,0.64,0.32,0,2.88,7.36,0,0,4.8,7.04
22Month,0,0,4.37,61.23,0,0,0.55,1.09,1.09,4.37,8.75,22.41,1.64,13.12,1.09,0.55,1.64,3.83,0,1.09,0.55,65.05,0,0.55,0,0.55,0,0,3.83,0.55,0.55,0,0
