stage,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,T_cell
21Day,0,0,0,8.03,0,0,4.02
3Month,0.64,0.32,0.32,0,0,0.64,0.96
22Month,0,1.64,0,0,0.55,0,1.09
