stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,73.56,28.6,0,53.12,28.6,4.09,0,0,0,0,0,12.26,0,0,0,0,12.26,20.43,32.69,192.06,0,0,0,4.09,65.38,12512.57,0,24.52,0,0,0,0,0,0,0,0,0
72hpf,39.58,8.56,0,81.3,41.72,40.65,0,5.35,0,0,2.14,0,0,0,0,0,8.56,60.98,5.35,180.79,0,3.21,2.14,0,4197.86,1012.02,2.14,612.99,7.49,0,173.31,4.28,4.28,16.05,0,0,0
21Day,12.05,4.02,5.35,64.25,9.37,8.03,0,5.35,0,0,0,0,2.68,2.68,4.02,5.35,1.34,16.06,8.03,111.1,0,0,8.03,1.34,670.61,224.87,2.68,178.02,40.16,2.68,45.51,9.37,6.69,1.34,0,0,2.68
3Month,0.64,0.96,0.64,27.52,0.64,0,0.32,0.32,4.8,0.64,1.28,0,3.2,0,0,1.92,2.24,19.52,0.32,58.23,0.32,0,1.6,0,1.6,0.64,0,0.64,0.32,3.84,0.96,0,0,1.92,2.24,0.64,0.96
22Month,0,0,0,1.09,0,0,0,0,0.55,0.55,0.55,0,4.92,0,1.09,0,0.55,1.09,0,16.95,0,0.55,1.64,0,3.83,0.55,0,0,0,8.75,0.55,0.55,0,0,0.55,0,0
