stage,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,0,0,1.07
21Day,1.34,1.34,0,0,1.34,0
22Month,0,0,0.55,1.09,0,0
