stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,16.35,20.43,0,0,0,12.26,53.12,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,3.21,3.21,0,0,0,1.07,0,0,0,1.07,0,1.07,3.21,6.42,2.14,0,0,0,37.44,16.05,0,0,0,3.21,0,0,3.21,0,0,0
21Day,1.34,0,10.71,8.03,0,0,0,0,0,0,0,2.68,1.34,1.34,2.68,1.34,0,0,0,0,5.35,5.35,0,0,0,2.68,1.34,1.34,0,0,0,1.34
3Month,0,0,4.16,0,0.32,0.32,2.56,0.96,0,7.04,2.88,0,1.6,0,0.64,0.96,1.92,0,0.64,0.32,0,0,0,0,0,0,0,7.68,0,0,1.6,2.24
22Month,0,1.09,2.19,0,0,0,1.64,3.28,1.64,56.31,0.55,0,6.01,0,0,2.19,1.09,1.09,1.09,0,0.55,0,0.55,0.55,0.55,0,0,14.76,0.55,0.55,0,0.55
