stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,4.09,85.81,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,2.14,0,2.14,0,0,0,0,0,0,0,0,0,2.14,1.07,0,4.28,0,1.07,0,0,47.07,14.98,0,0,5.35,0,0,4.28,10.7,19.26,0,0,0
21Day,0,0,1.34,1.34,0,1.34,0,1.34,0,0,1.34,0,4.02,1.34,0,1.34,1.34,10.71,0,0,0,1.34,13.39,4.02,0,0,2.68,0,2.68,2.68,46.85,175.35,0,0,1.34
3Month,0,0.32,5.44,0,0,0,0.96,0,2.24,0,10.56,0.96,0.96,3.84,1.6,2.88,0.64,2.24,0.32,0,0,0.96,0.32,0.64,0.96,0.64,0,0.64,27.52,0.64,0.32,0,0,20.48,0.64
22Month,2.19,0.55,0.55,0,0,0,0,0.55,1.09,2.19,18.04,1.64,0,1.09,0,0.55,2.19,3.28,0,0.55,0.55,0,1.64,0.55,0,0.55,0,0,7.11,0.55,12.57,0,0,0,1.64
