stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,8.17,61.3,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,4.28,0,0,0,0,0,0,0,1.07,1.07,0,1.07,0,0,0,10.7,10.7,0,0,4.28,0,0,0,0,0
21Day,1.34,0,1.34,4.02,1.34,2.68,1.34,0,0,0,0,0,0,0,0,0,0,6.69,0,0,1.34,2.68,5.35,0,0,1.34,0,0,0,0,0
3Month,0,0.96,0.96,5.76,0.32,0,1.28,3.84,3.2,0,12.48,2.88,0.64,6.08,0.96,2.24,3.2,4.48,0.64,0,0.96,0.32,0.32,0.96,0.32,0.64,23.04,0,0,5.44,3.84
22Month,0,1.64,0.55,4.37,0,0,0,0.55,2.73,1.64,19.68,0,1.09,3.28,0,0,4.37,5.47,0,0.55,0,0.55,0,0.55,1.09,0,2.19,1.09,1.09,0,1.09
