stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,4.09,0,0,12.26,0,0,0,0,0,0,0,0,4.09,8.17,8.17,0,0,0,4.09,196.15,0,0,0,0,0,8.17,0
72hpf,0,0,0,0,1.07,1.07,0,0,0,0,0,0,4.28,0,1.07,0,0,0,32.09,27.81,0,5.35,0,0,1.07,0,0
21Day,1.34,0,0,2.68,6.69,1.34,0,0,0,0,0,0,0,0,8.03,0,1.34,0,14.72,18.74,1.34,2.68,1.34,1.34,5.35,0,0
3Month,0,0.32,0,2.56,0.96,0,0.32,0,1.28,0.32,0.32,2.24,0.64,0,0.96,1.28,0,1.6,0,0,0,0,0.32,6.08,0,0,1.92
22Month,0,0,0.55,1.09,0,0,0,8.2,3.28,0,0,0,0,0,0.55,0,0,0.55,0.55,0,0,0,0,0.55,0,0,0
