stage,Epithelial_cell,Hepatocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0
21Day,0,0,1.34,0,1.34,0,0
3Month,0.32,0.32,0,0,2.56,1.6,0.32
