stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,1.07,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,2.68,0,0,0,0
3Month,0.96,0.32,9.6,0.96,3.2,3.52,2.56,0.96,2.88,0.32,4.48,4.8,0.96,1.28,0.64,0.32,0,0,0.32,0,0.32,0.64,2.56,0.32,2.24
22Month,0.55,0,0,0,0.55,2.73,0.55,0,0,0,0.55,0.55,0,0,0,0,0.55,0,0,0,0,0,0,0,0
