stage,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
24hpf,0,4.09,0,12.26,0
72hpf,1.07,0,1.07,1.07,0
3Month,0,0,0,0,0.32
