stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_cell,Keratinocyte,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia,T_cell
72hpf,0,1.07,0,0,0,0,0,0,18.19,1.07,0,1.07,0
21Day,0,0,1.34,0,0,2.68,1.34,0,41.49,0,0,0,0
3Month,0.64,0,0,0,0.64,0.32,0,0,5.12,0,0.32,0,1.28
22Month,0,0,0,0.55,24.05,0,0,0.55,0,0,0,0,0
