stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Osteoblast,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,4.02,0,0,0,1.34,0,0,0,1.34,1.34,0,1.34
3Month,0.32,0.64,0.64,0.96,23.36,0.64,1.28,0.64,1.28,0.64,0.32,0.96,0,0,0.32,1.28
22Month,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0
