stage,Endothelial_cell,Enterocyte,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,37.44,2.14,0,1.07,1.07,0,1.07,0,0,0
21Day,1.34,0,1.34,0,0,0,1.34,1.34,0,28.11,0,0,2.68,0,1.34,0,1.34,0,1.34
3Month,0,0.32,0.96,1.92,0.32,0.32,0,0.64,0.32,0.64,0,0,0.32,0,0,0,0,0.32,0.32
22Month,0.55,0,0.55,12.57,0.55,1.09,0,1.09,0,0,0,0.55,0,0,0,0,0,0,0
