stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
3Month,0.32,0.32,2.24,0.32,1.28,3.2,0.96,0,1.92,0.32,0.96,1.6,0.96,0.96,0.32,0.32,0.64,0.64,0.64,2.24
22Month,0,0,1.09,0,0,4.92,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0
