stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,384.12,0,0,0,0,0,0,4.09,0,0,0,4.09,8.17,1299.48,12.26,16.35,0,0,0,0,4.09,143.02,0,0,0,0,0,0,0,0,0,0
72hpf,17.12,3.21,0,300.61,3.21,13.91,0,0,0,0,0,0,0,0,2.14,55.63,3279.98,2.14,13.91,0,0,0,1.07,156.19,83.44,0,40.65,2.14,0,8.56,2.14,1.07,2.14,0,0
21Day,17.4,0,0,1643.72,0,37.48,4.02,0,0,0,0,4.02,1.34,8.03,2.68,26.77,1227.43,1.34,34.8,0,0,4.02,0,42.83,21.42,1.34,6.69,41.49,0,1.34,4.02,12.05,0,0,4.02
3Month,0,0,0.32,4.16,0,0,0,0.32,1.92,0,0,6.72,0.32,0.64,2.56,0,12.48,1.6,1.28,0.32,0.64,0.64,0,0,0,0,0,0.64,2.24,0,0,0,0,0.32,0.32
22Month,0,1.64,0,7.11,0,0,0,0,1.09,4.37,0,44.28,0.55,1.09,3.83,1.09,1.09,2.73,2.19,0,1.09,0.55,0,0.55,0,0.55,0,1.09,2.19,0,0,0,0,0,0.55
