stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,4.09,4.09,0,0,0,8.17,0,20.43,0,0,89.9,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,1.07,4.28,0,4.28,1.07,6.42,16.05,2.14,0,2.14,0,0,0
21Day,1.34,0,5.35,0,0,1.34,2.68,0,13.39,0,0,2.68,1.34,0,1.34,1.34,0,0
3Month,0,0,0.32,1.28,0,0,0.64,0.32,0,0,0,0,0,1.28,0,0,0.32,0.64
