stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,7.49,0,1.07,23.54,2.14,0,0,1.07,0,0
21Day,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,2.68,1.34,0,0,0,0,0
3Month,0.32,0.96,0,0,0.96,0.96,0,0.32,0.32,0.64,0.64,0,0,0,0,0.32,0.96,0,0.32,0
22Month,1.09,0.55,0,1.09,8.75,0,0.55,0,0,0,0,0.55,0,0,0,0,2.73,0,0,1.09
