stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,61.3,4.09,0,0,0
72hpf,0,1.07,0,0,0,1.07,0,0,0,0,1.07,5.35,0,0,0,4.28,2.14,1.07,0,1.07,0
21Day,0,0,0,2.68,2.68,1.34,0,0,0,0,0,2.68,1.34,2.68,0,1.34,0,0,1.34,1.34,0
3Month,0,0.32,0,1.92,0,0,0.32,0,1.28,0.32,0,0.64,0.32,1.28,0,0,0,0,13.76,0,7.04
22Month,0,0.55,0.55,0,0,0,0.55,0.55,0.55,0.55,0,0,0,0,0.55,0,0,0,7.11,0,0
