stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,2.14,9.63,1.07,0,0,4.28,1.07,2.14,1.07,0,0,0,0
21Day,0,0,22.76,1.34,0,0,0,0,0,0,1.34,1.34,41.49,1.34,0,0,4.02,0,0,0,1.34,0,0,0
3Month,0.32,0.32,4.16,0,0,2.56,3.2,0,0.96,0.64,0.32,0,0.32,4.48,0.96,0,0,0,0,0,0,0.32,0.64,2.56
22Month,0.55,0,0,0,0.55,0,2.19,0.55,2.73,1.09,0,0,0,3.83,1.64,0.55,0,0,0,0,0,0,0,0.55
