stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,1.07,0,2.14,0,0,0,0,0
21Day,0,1.34,0,0,1.34,1.34,0,10.71,0,0,0,2.68,0,0,0,0,1.34,1.34,0,0,0,0,1.34,8.03,0,1.34,0
3Month,0.32,1.28,0,0,1.6,2.88,0.64,0,1.28,0.96,22.72,1.28,0.32,0,0.32,0.64,0.32,0,0,0.32,0,0,0.96,76.15,0,29.12,2.56
22Month,15.31,10.39,0.55,0.55,1.64,14.21,0.55,117.53,1.09,0.55,417.64,27.88,0,1.64,2.19,0.55,0,0,1.64,0.55,1.09,0,0,20.23,2.19,0,92.93
