stage,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Muscle_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0
21Day,0,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0,0,0,0.32,0,0.64,0.32,0.32,0.32,0,0.32,0,0.64
22Month,0.55,0.55,0.55,0.55,0,0,0,1.09,0,0,0,0.55,0
