stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,4.09,0,0,8.17,0,0,0,0,0
72hpf,1.07,0,0,11.77,0,5.35,2.14,1.07,9.63,0,0,1.07
21Day,1.34,1.34,0,9.37,2.68,2.68,0,0,0,1.34,1.34,0
3Month,0,0,0.32,0.64,0,0,0,0,0,0,0,0
