stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,8.17,49.04,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,1.07,1.07,0,0,0,1.07,0,0,0,1.07,0,0,24.61,0,3.21,0,26.74,6.42,0,0,0,5.35,0,1.07,2.14,0,0,0,0,0
21Day,4.02,0,0,42.83,5.35,5.35,0,1.34,8.03,0,1.34,2.68,0,6.69,0,184.72,0,0,4.02,21.42,20.08,0,0,0,1.34,9.37,1.34,4.02,0,4.02,0,0,0
3Month,0,0.32,0.32,14.08,0,0,18.88,3.84,16,3.84,0.64,4.48,0.96,2.24,1.92,62.39,0.64,0.32,0.32,0.64,0,1.6,0.32,0,0,1.28,84.47,0.64,0,0,0.32,43.51,2.56
22Month,0,1.64,7.11,2.73,0,0,21.32,7.11,98.4,0.55,0,22.96,0,0,1.64,48.65,0,2.73,0,0.55,0,2.19,0,1.64,0.55,0,125.73,1.09,0.55,0,0,1.09,0.55
