stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,40.86,0,0,0,0,0,0,0,0,0,4.09,4.09,0,4.09,0,0,0,4.09,12.26,196.15,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,6.42,1.07,0,0,0,0,0,0,0,2.14,5.35,0,4.28,0,0,0,1.07,16.05,17.12,1.07,2.14,0,0,11.77,0,1.07,0,0
21Day,0,0,0,8.03,9.37,0,0,0,0,0,0,1.34,2.68,0,0,1.34,5.35,0,1.34,0,0,13.39,5.35,0,5.35,1.34,1.34,9.37,0,4.02,0,1.34
3Month,0.32,0.32,1.28,21.44,0.32,0,0.32,1.92,1.28,4.8,0.32,0,17.92,4.48,1.28,1.6,1.6,0.32,0,0,1.28,8,0.64,0.96,0.32,0.32,36.15,0,0,0.96,120.3,0
22Month,0,0,0,8.2,0,0,0,1.09,1.09,7.65,1.09,0,10.93,0.55,0,0.55,0.55,1.09,0.55,0.55,0,2.19,1.09,0,0,0,11.48,0.55,0.55,0,2.19,0
