stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,4.09,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,8.56,0,0,0,0,0,4.28,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0.96,77.75,2.24,0.64,0.32,0.64,3.84,0,14.72,4.48,0,6.08,16.64,2.24,2.24,2.88,0.32,0.32,0,2.24,7.36,0.32,0.32,0.64,0.32,0,90.87,0.64,1.6,0.64,358.34,2.56
22Month,0.55,30.61,1.64,0.55,0,0,4.37,4.92,56.31,1.09,0.55,6.01,1.09,1.64,5.47,2.73,0,0.55,1.09,1.09,3.83,0,0,0,0,0.55,27.88,0,0,0.55,0,1.09
