stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
21Day,0,12.05,2.68,0,1.34,52.2,0,0,1.34,1.34,0,0,4.02,4.02,1.34,1.34,0,9.37,0,18.74
3Month,0,0,0,0.32,0,0,0.64,0.64,0.32,2.88,0.32,0,0,0,0,0,0,0,0,6.4
22Month,2.73,0.55,0,1.09,3.28,0,0.55,0.55,0,1.09,0,0.55,0,0,0,0,5.47,0,0.55,32.25
