stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,T_cell
24hpf,322.83,0,0,0,0,0,0,8.17,16.35,0,44.95,0,0
72hpf,32.09,0,0,0,0,0,0,0,0,1.07,1.07,1.07,0
21Day,62.91,1.34,1.34,1.34,0,1.34,2.68,0,0,2.68,0,0,0
3Month,0,0.32,0,0,0.32,0,0,0,0,0,0,0,1.92
22Month,0,0,0,0,0.55,0,0,0.55,0,0,0,0,10.39
