stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell
72hpf,0,0,0,0,0,1.07,1.07,1.07,0
21Day,0,2.68,0,0,1.34,2.68,0,0,0
22Month,0.55,3.83,2.19,0.55,26.79,0,0,0,3.28
