stage,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,16.35,0,0
72hpf,0,0,0,0,0,1.07,0,1.07,1.07,0,0
21Day,1.34,0,0,2.68,0,0,0,0,0,0,0
3Month,0,0.32,0.32,0,0.32,0,0.64,0,0,0.32,0.32
22Month,0.55,0.55,0.55,0,0,0,0,0,0,0,0
