stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,0,5.35,0,0,0,0
3Month,1.28,6.72,0.32,0.64,2.56,10.56,4.16,0.64,3.84,0.96,2.56,1.92,2.24,0.32,0.32,0.96,0.32,0,0.96,0.32,0.32,2.24,174.37,0.32,2.24,426.81,3.2
22Month,0.55,0,0,0,0,6.01,0,0.55,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,42.09,0,0.55,0.55,0
