stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0.32,3.2,0,0.64,1.6,0,2.56,2.56,0,1.28,0.96,0.96,0.96,0.64,0.96,0,0.64,0,0.32,0,0.32,0.32,1.6
22Month,1.09,0.55,2.19,0.55,1.09,14.76,0.55,20.23,2.73,1.64,7.65,1.09,0.55,9.84,3.83,0,0.55,0.55,0.55,0,1.09,0,0,3.83
