stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,4.09,4.09,4.09,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,1.07,4.28,0,1.07,0,0,0,0,0,0,0,0,0,0,2.14,16.05,0,0,0,1.07,0,1.07,25.67,0,0,16.05,0,0,1.07,0,0,0
21Day,0,0,0,12.05,1.34,4.02,0,0,0,0,0,0,5.35,0,4.02,10.71,0,5.35,0,1.34,0,1.34,4.02,0,0,5.35,2.68,0,0,0,0,2.68
3Month,0,0.32,0.32,30.08,0.32,0,0.32,0.96,1.92,16,5.76,6.72,1.6,0.64,9.28,2.56,3.2,15.68,10.56,0.32,0.64,9.28,0,0.64,0.32,0,0.32,4.8,0,0.32,0.64,9.6
22Month,0,0,0,4.37,0,0,0,0,0,1.09,6.56,0,0,0,0,0,0.55,1.64,0.55,0.55,0,1.09,0,0,0,0,0,2.73,0,0,0,0
