stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,7.49,0,3.21,0,0,0,33.16,11.77,0,1.07,0,5.35,1.07,0,1.07,0,0,0,0,0
21Day,0,0,0,5.35,1.34,2.68,0,0,0,0,0,0,0,0,0,4.02,0,1.34,0,1.34,0,5.35,1.34,1.34,0,0,0,1.34,17.4,0,0,1.34,0,2.68,0
3Month,0,0.64,0.32,9.28,0,0,0,0.64,1.6,0,6.08,0.64,0.96,2.56,0.64,1.28,0.96,1.28,0.32,1.6,0.64,0.32,0,0.32,0.96,0,0,0.64,2.24,0,0.32,0,0.32,0.64,1.92
22Month,1.09,0,0.55,6.01,0,0,0.55,3.28,2.73,2.19,28.97,2.73,2.19,9.84,0,3.83,4.37,4.92,0.55,0.55,0,1.64,0.55,0.55,0,62.32,0,0.55,12.57,0.55,0.55,0,0,0,1.64
