stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,1.92,0,0.64,6.72,1.28,0.32,0,0.32,0.64,0,0,0.64,0.32,0.32,1.28
22Month,0,0,0,0,2.73,2.19,0,0.55,0,0,0.55,0,0,0,0,0
