stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,171.63,0,0,0,8.17,0,4.09,0,0,0,0,0,4.09,57.21,249.27,0,0,0,0,4.09,8.17,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,2.14,0,34.23,0,2.14,0,0,0,1.07,0,0,0,2.14,0,3.21,108.05,7.49,5.35,0,0,0,2.14,8.56,0,0,0,4.28,0,0,2.14,0,0,0,0
21Day,1.34,1.34,0,163.3,0,2.68,0,2.68,0,4.02,0,1.34,0,5.35,0,2.68,131.18,16.06,9.37,0,5.35,0,2.68,0,0,1.34,0,2.68,2.68,0,0,2.68,0,0,1.34
3Month,0.64,1.28,0.64,77.43,0.32,0,0.64,0,3.84,32.95,0,7.68,9.92,1.28,3.52,1.28,57.27,62.39,7.36,4.48,8.64,2.24,0.32,0,0.96,0,0,0,1.6,3.52,0,0,3.52,1.28,16.32
22Month,0,1.09,0.55,46.47,0,0,1.09,0,6.56,106.6,24.05,31.71,3.28,3.28,4.37,0,22.41,110.42,10.93,1.09,9.29,0,1.64,0,0,1.09,0.55,0,0.55,1.09,0,0,0,0,8.2
