stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.26,0,1.07,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0
21Day,1.34,1.34,50.86,1.34,0,0,0,1.34,0,1.34,0,6.69,4.02,0,269.05,4.02,5.35,0,0,2.68,5.35,4.02,0,0,4.02,0,0,0,0,0,6.69
3Month,0.64,0.96,10.88,0,0,0.64,4.8,4.16,0,5.12,3.2,0.64,24.96,0.64,1.6,2.56,2.24,0.96,0.96,0.32,0,0,0.64,0.32,0.32,0.32,0.32,0,1.28,0.96,13.44
22Month,2.73,3.83,14.76,0,0.55,0.55,8.2,56.31,1.09,40.45,6.56,5.47,130.1,0,2.19,27.33,5.47,0,1.09,0,0.55,0,2.73,0,1.64,2.73,0.55,0.55,1.09,0,16.95
