stage,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Mesenchymal_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,2.14,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,2.68,1.34,1.34,0,0,0
3Month,0.32,0,0,0,0.32,0,0,0,0,0.32,0.32,0.32
22Month,0,0,0.55,1.09,1.09,0.55,0,0,0,0,0,0
