stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,2.14,2.14,0,0,0,0,0,0,1.07,5.35,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,1.34,8.03,0,0,0,0,0,0,0,0,0,2.68,1.34,2.68,0,0,0,0,0,0,1.34,2.68,0,1.34,0,1.34,2.68,0,0,0
3Month,0,1.92,2.24,26.88,0.64,0.96,2.88,0.64,128.62,3.2,0.64,19.52,3.84,5.44,6.4,3.52,0.32,0.32,1.28,1.28,0.32,0,0.32,1.28,0,0,2.56,27.52,0,1.92,8,2.56
22Month,0,0,0,2.73,0,0,0,0.55,16.95,0,0,0.55,0,0,0.55,1.09,0,0.55,0,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0
