stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,0,0,1.34
3Month,1.92,0.32,0.32,0.64,0,0,0.96,0.32,0.32,0,0.32,0.64
22Month,0,0,0,0,0.55,1.09,1.64,0,0,0,0,0
