stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,40.86,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0,24.61,9.63,0,0
21Day,0,0,1.34,0,0,0,0,0,0,4.02,0,1.34,0,0,10.71,16.06,0,0
3Month,0.32,1.92,0,1.28,1.28,1.6,1.28,0.64,0.64,0,0,0,0.32,9.6,0,0,93.75,0.32
22Month,0,0,0,0,0,1.64,0,0,0,0,0,0,0,2.73,1.09,0,0,0
