stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Intestinal_bulb_cell,Keratinocyte,Osteoblast
72hpf,0,0,0,0,1.07,1.07
21Day,0,2.68,1.34,0,6.69,0
3Month,0.32,0.64,0,0.64,0.32,0
