stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
3Month,0,0,2.56,0,0,0.96,0.96,1.28,0,0,0.64,0.64,0.64,0,0,0,0.64,0.64,0.64,0.32
22Month,0.55,0.55,1.64,0.55,0.55,0,20.77,0,0.55,2.19,0,0,0,0.55,0.55,1.64,3.28,0,0,1.09
