stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,1290.17,1.07,0,8.56,2.14,10.7,0,0,1.07,0,1.07,0,0,0,6.42,24.61,1.07,14.98,0,3.21,1.07,117.68,59.91,0,21.4,1.07,0,9.63,0,2.14,2.14,0,0,0
21Day,555.49,1.34,0,34.8,1.34,17.4,4.02,0,0,0,6.69,0,9.37,5.35,1.34,12.05,10.71,29.45,0,0,2.68,29.45,8.03,0,16.06,9.37,0,2.68,1.34,9.37,2.68,0,0,9.37
3Month,52.47,0,0,3.52,0,0,0.32,1.6,1.92,0,22.4,3.2,0,2.88,1.6,1.92,4.48,1.92,0.64,0.32,0,1.92,0,0.96,0.32,0.64,8.64,0.32,0,0,0.32,1.28,2.88,0.96
22Month,18.04,0.55,0.55,1.64,0.55,0,0,0,1.64,0.55,33.35,1.64,1.09,1.64,1.09,0,2.19,2.73,0.55,0.55,0,0.55,0,0.55,0,0,21.87,6.56,0,0,0,0,0,0.55
