stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,40.86,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,4.09,69.47,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,5.35,2.14,0,17.12,5.35,2.14,0,0,0,1.07,0,0,0,0,0,2.14,24.61,2.14,24.61,2.14,1.07,0,54.56,50.28,3.21,1.07,25.67,1.07,0,3.21,0,0,0,0,0
21Day,6.69,1.34,1.34,112.44,0,25.43,0,9.37,0,8.03,0,2.68,0,21.42,0,8.03,38.82,21.42,36.14,0,8.03,0,34.8,26.77,1.34,1.34,18.74,4.02,4.02,1.34,0,5.35,0,0,13.39
3Month,0,0,0.32,4.48,0,0,0,0,0.32,3.52,0,0.96,0.64,0.64,1.28,0.32,1.6,1.92,0.32,0,0,0,0,0,0,0.32,0,0,18.56,0.32,0,0,0,12.16,1.6
22Month,0,1.64,0,10.39,0,0,0.55,1.64,0,23.51,3.83,17.49,10.93,4.92,3.83,0,0.55,13.67,3.28,1.64,1.64,0.55,1.09,0,2.19,2.19,0,0.55,8.2,0,0.55,0,1.09,0,4.92
