stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,0,3.21,0,0,0,0,0,0
21Day,0,29.45,0,0,0,2.68,8.03,0,0,0,0,1.34,0
3Month,0.64,15.68,0,0.32,0.96,0,1.28,0.32,0.32,0.32,0,0.64,0.32
22Month,0,0,1.09,0,0,0,0,0,0.55,0.55,0,0,0
