stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,1.34,161.96,4.02,0,1.34,0,0,0,1.34,1.34,2.68,1.34,362.74,1.34,8.03,1.34,0,2.68,4.02,0,1.34,5.35,0,1.34,1.34,1.34,0
3Month,0.32,0.32,0,58.23,0,0.32,0,4.8,0.64,2.56,1.28,0,7.68,0.96,6.72,2.24,0.32,0,0.32,0.32,0,0.32,0,0,0.64,0,0,0,0.96
22Month,0,0,0.55,3.83,0,0,0.55,1.64,0,3.28,0,0.55,53.57,0,3.28,2.73,0.55,0.55,0,0.55,0,0.55,0,1.09,16.4,0,0,0,0.55
