stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.32,0.32,59.51,0,1.28,0.64,0,6.08,1.92,0.32,1.28,1.6,8.96,0.32,0.64,0.32,0.32,0.64,0,11.84,3.84,0.32
22Month,0,0,1.64,0.55,0,0.55,0.55,10.93,2.73,0,0,0,0,0,0,0,0,0,0.55,1.09,0,0
