stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Radial_glia
72hpf,0,0,0,0,1.07,0,0,2.14,0
3Month,0.64,0,2.24,0,0,0.32,0,0,0
22Month,0,1.64,17.49,1.64,0,0,1.09,0,0.55
