stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,12.26,0,0,0,20.43,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,1.07,3.21,0,0,0,0,0,2.14,0,16.05,0,0,5.35,2.14,1.07,6.42,0,1.07,3.21,0,0,0
21Day,4.02,0,0,1.34,4.02,1.34,0,0,1.34,0,2.68,0,45.51,8.03,0,12.05,1.34,0,36.14,2.68,1.34,9.37,1.34,1.34,0
3Month,0,0,0.32,0.96,0,0,0,0.96,0,1.6,0.64,0.32,0.32,0.32,0.32,0,0,0,0,0.64,39.67,0,1.6,25.92,0
22Month,0,0,0.55,0,0,0,1.64,22.96,0,1.64,0,0.55,6.56,0.55,0,0,0,0,0,0,0.55,0,0,0,0.55
