stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,1.07,175.45,11.77,0,1.07,0,0,2.14,1.07,0,0
21Day,0,5.35,0,0,0,0,0,0,1.34,0,0,99.05,0,4.02,0,0,2.68,0,4.02,6.69,0
3Month,0,0.32,0,0,0,0.64,0.64,0.32,0,0.32,0,0,0,0.32,0,0,0,0,0,0,0.32
22Month,0,0,0,0.55,0.55,9.29,0.55,1.64,0,0,0.55,0,0,0,0,0.55,0,0,0,0,0
