stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,36.37,2.14,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,2.14,0,0,0,0
21Day,4.02,2.68,5.35,18.74,6.69,1.34,0,206.13,6.69,1.34,4.02,1.34,2.68,9.37,2.68,1.34,5.35,9.37,0,2.68,2.68,2.68,0,4.02
3Month,0,0,0.32,0,0,0,0,0,0,0,0.32,0.32,0,0,0,0,0,0,0,0.32,0,0,1.28,0
22Month,0,0,0,0,0,0,1.64,0,0.55,0,0,0,0,0,0,0,0,0,1.09,2.73,0,0,0,0
