stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,1.07,0,1.07,0,1.07,0,0,1.07,1.07,0,0,0
21Day,1.34,0,6.69,0,0,0,0,5.35,0,2.68,0,0,0,2.68,0,1.34,0,0,0
3Month,0,0.64,1.6,0.32,1.6,0,0.64,2.88,0.32,5.76,0.32,0,3.84,0.32,0,0,0.64,18.56,0.32
22Month,0,1.64,1.64,0,5.47,0.55,0,0,0,5.47,0.55,0,5.47,0,0,0,0,3.28,0
